name,ingredients,effect,dosage,caution,nation,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motrin IB, Ibuprofen,Pain reliever/fever reducer,adults and children 12 years and older: take 1 or 2 caplets every 4 to 6 hours while symptoms persist. do not exceed 6 caplets in 24 hours.,"Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. This product contains an NSAID, which may cause severe stomach bleeding and  increase the risk of heart attack, heart failure, and stroke. Do not use if you are taking a diuretic.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEVE PM,"Diphenhydramine hydrochloride, Naproxen sodium","Nighttime sleep-aid, pain reliever",Just Two pills at bedtime. Each pill has the strength to last 12 hours.,"When using this product, drowsiness will occur, avoid alcoholic drinks. This product contains an NSAID, which may cause severe stomach bleeding. Allergy alert; Naproxen sodium may cause a severe allergic reaction. Do not use if you have no time for a full night's sleep, or in children under 12 years of age or right before or after heart surgery.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alka-Seltzer Gold,"Alka-Seltzer Gold, Potassium bicarbonate, Sodium bicarbonate","Provides powerful maximum relief from your worst symptoms of nasal & sinus congestion, mucus, headache, body Pain and cough","adults and children 12 years and over: 2 tablets every 4 hours as needed, or asdirected by a doctor",Ask a doctor before use if you have kidney disease or a potassium or sodium-restricted diet.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodys Back and Body Pain,"Acetaminophen, Aspirin",Pain reliever/fever reducer,"adults and children 12 years of age and over: place 1 powder on tongue every 6 hours, while symptoms persist. do not take more than 4 powders in 24 hours.","Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. Allergy alert: Aspirin may cause a severe allergic reaction. This product contains acetaminophen. Severe liver damage may occur. This product contains an NSAID, which may cause severe stomach bleeding.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excedrin," Acetaminophen, Aspirin (Nsaid*), Caffeine (65 Mg)",pain relief,adults and children 12 years and over: take 2 caplets every 6 hours; not more than 8 caplets in 24 hours,"Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. Acetaminophen may cause severe skin reactions. Aspirin may cause a severe allergic reaction. This product contains acetaminophen. Severe liver damage may occur. This product contains an NSAID, which may cause severe stomach bleeding.  Caffeine warning: The recommended dose of this product contains about as much caffeine as a cup of coffee. ",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagamet,Cimetidine ,Acid reducer; Provides effective relief and prevention of heartburn and acid indigestion,"adults and children 12 years and older: To relieve symptoms, swallow 1 tablet with a glass of water. To prevent symptoms, swallow 1 tablet with a glass of water right before or any time up to 30 minutes before eating food or drinking beverages that cause heartburn. Do not take more than 2 tablets in 24 hours.",Ask a doctor or pharmacist before use if you are taking a prescription drug. Do not use if you are allergic to cimetidine or other acid reducers. Ask a doctor before use if you have frequent chest pain or lightheadedness or dizziness.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepcid AC,Famotidine,Acid reducer; relieves heartburn associated with acid indigestion and sour stomach,"adults and children 12 years and over: To relieve symptoms, swallow 1 tablet. To prevent symptoms, swallow 1 tablet  at any time from 15 to 60 minutes before eating that cause heartburn. Drink with water. Do not use more than 2 tablets in 24 hours.","Ask a doctor or pharmacist before use if you are taking a prescription drug. Ask doctor before if you have chest pain or heartburn with lightheadedness, sweating, or dizziness. Do not use if you are allergic to famotidine or other acid reducers.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claritin,Loratadine ,"Relief of your worst allergy symptoms including sneezing, runny nose, itchy/watery eyes and itchy throat/nose",1 capsule daily; not more than 1 capsule in 24 hours,Taking more than directed may cause drowsiness. Ask a doctor before use if you have liver or kidney disease.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cepacol,"Benzocaine , Menthol ",ORAL PAIN RELIEF: Contains Benzocaine and Menthol that help relieve your oral pain,One Lozenge every 2 Hours,"Stop use and ask a dentist if you have painful or swollen gums, pus from the gum line, loose teeth, or increasing spacing between the teeth.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mucinex Fast-Max,"Acetaminophen, Dextromethorphan Hbr, Guaifenesin , Phenylephrine Hci ","Relieves Aches and Pain, Fever, Sore Throat, Sinus Pressure, Nasal & Chest Congestion, Sinus Congestion, and Controls Cough",Adults and children 12 years of age and older take 2 liquid gels every 4 hours. Do not take more than 12 liquid gels in any 24-hour period.,Avoid taking other products that have acetaminophen in them.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JET ALERT Double Strength,caffeine,"Alertness Aid,Helps restore mental alertness or wakefulness when experiencing fatigue or drowsiness","over age 12: oral dosage is 1 caplet. After the initial dosage, 1 caplet every 3 hours should be sufficient.",Do not take this product without consulting a physician if under medical care. KEEP THIS AND ALL DRUGS OUT OF REACH OF CHILDREN.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titralac Plus,"Calcium carbonate ,Simethicone","Antacid, Antigas; relieves symptoms referred to as gas.","chew, swallow or let melt in mouth two tablets every two or three hours as symptoms occur",Ask a doctor or pharmacist before use if you are taking a prescription drug. Antacids may interact with certain prescription drugs.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolex Forte,"ACETAMINOPHEN , ASPIRIN , CAFFEINE",Pain reliever,adults and children 12 years and over: take 4 to 8 tablets every 4 hours; do not exceed 48 tablets in 24 hours,"Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. And Acetaminophen may cause severe skin reactions and allergic reaction. This product contains an NSAID, which may cause severe stomach bleeding. Caffeine warning: The recommended dose of this product contains about as much caffeine as a cup of coffee.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domeboro,"Aluminum sulfate tetradecahydrate, Calcium acetate monohydrate",Astringent; temporarily relieves minor skin irritations,dissolve 1 to 3 packets in a pint (16 oz) of cool or warm water,"If contact occurs, rinse thoroughly with water. Do not cover compress or wet dressing with plastic to prevent evaporation.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differin,ADAPALENE,acne treatment,"Adults and children 12 years of age and older: use once daily, cover the entire affected area with a thin layer.","Do not use if you are allergic to adapalene or any of the ingredients in this product. When using this product
limit sun exposure. During the early weeks of use, your acne may appear to worsen before it improves (this is normal). It may take up to 3 months of once daily use to see results.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortinia,Clotrimazole,Antifungal; cures most athlete¡¯s foot infections and ringworm infections ,"apply one drop to the affected area twice daily (morning and night) using a disposable cotton swab. For athlete¡¯s foot and ringworm infections, use daily for 4 weeks.","When using this product, avoid contact with eyes. If contact occurs, rinse eyes thoroughly with water.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fedrin,"ACETAMINOPHEN,  Phenylephrine HCl","Pain reliever/fever reducer, Nasal decongestant; For temporary relief of nasal congestion associated with sinusitis.","Adults and children: (12 years and older) Take 2 tablets with water every 6 hours as needed. Do not take more than 8 tablets in 24 hours, or as directed by doctor.",Ask a doctor before use if you have: heart diseases. Liver Warning: This product contains acetaminophen.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
