name,ingredients,effect,dosage,caution,nation,image
NEOSPORIN¢ç Original Ointment,"Bacitracin Zinc, Neomycin Sulfate, Polymyxin B Sulfate, Petrolatum, Gossypium herbaceum Seed Oil, Olea Europaea Fruit Oil, Theobroma Cacao Seed Butter, Sodium Pyruvate, Tocopheryl Acetate","Made with bacitracin zinc, this first aid antibiotic ointment helps prevent infection in minor cuts, scrapes, and burns.",Clean the affected area. Apply a small amount of this product (an amount equal to the surface area of the tip of a finger) on the area 1 to 3 times daily.,"Do not use : if you are allergic to any of the ingredients, in the eyes, over large areas of the body
Ask a doctor before use if you have : deep or puncture wounds, animal bites, serious burns",en,
BENADRYL¢ç Allergy ULTRATAB¢ç,"Diphenhydramine HCl, Antihistamine","Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies : Runny nose, Sneezing, Itchy, watery eyes, Itching of the nose or throat",Adults and children 12 years and over: 1 to 2 tablets,"Do not use : To make a child sleepy, With any other product containing diphenhydramine, even one used on skin
Ask a doctor before use if you have : A breathing problem such as emphysema or chronic bronchitis, Glaucoma, Trouble urinating due to an enlarged prostate gland",en,
"DayQuil¢â SEVERE Cough, Cold & Flu Daytime Relief LiquiCaps¢â","Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl","fever, cough, nasal congestion, minor aches and pains, headache, sore throat",Adults and children 12 years and over: 2 LiquiCaps¢â with water every 4 hours,"When using DayQuil or NyQuil products, carefully read each label to ensure correct dosing. Use as directed. Keep out of reach of children",en,
"NyQuil¢â SEVERE Cough, Cold & Flu Nighttime Relief LiquiCaps","Acetaminophen, Dextromethorphan HBr, Doxylamine succinate","Cough due to minor throat & bronchial irritation, Sore throat, Headache, Minor aches & pains, Fever, Runny nose & sneezing",Use only the dose cup provided / Do not exceed 4 doses per 24 hours,"When using DayQuil or NyQuil products, carefully read each label to ensure correct dosing. Use as directed. Keep out of reach of children",en,
Advil PM Caplets,"Ibuprofen, Diphenhydramine citrate","Don¡¯t let backache, minor arthritis pain, headache, joint pain or other minor nighttime aches and pains interrupt a restful night¡¯s sleep.",12 years of age and older: Take 2 caplets at bedtime / Do not take more than 2 caplets in 24 hours.,"Use this medicine exactly as directed. Taking too much diphenhydramine can lead to serious heart problems, seizures, coma, or death.",en,
Advil Tablets,Ibuprofen,"Headache, Toothache, Backache, Menstrual cramps, The common cold, Muscular aches, Minor pain of arthritis",12 years of age and older: 1 tablet/caplet/gel caplet every 4 to 6 hours while symptoms persist.,"Use this medicine exactly as directed. Taking too much diphenhydramine can lead to serious heart problems, seizures, coma, or death.",en,
ZYRTEC¢ç TABLETS,"Cetirizine HCl, Antihistamine","Runny nose, Sneezing, Itchy, watery eyes, Itching of the nose or throat",Adults and children 6 years and over: One 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours.,"Do not use : if you have ever had an allergic reaction to this product or any of its ingredients, or to an antihistamine containing hydroxyzine.
Ask a doctor before use : if you have liver or kidney disease. Your doctor should determine if you need a different dose.",en,
TUMS¢ç Smoothies¢â,Calcium Carbonate USP,"Heartburn, Sour Stomach, Acid Indigestion, Upset stomach associated with these symptoms","Adults and children 12 years of age and over: chew 2-4 tablets as symptoms occur, or as directed by a doctor.",Ask a doctor or pharmacist before use if you are presently taking a prescription drug. Antacids may interact with certain prescription drugs.,en,
Kirkland Signature Rapid Release Acetaminophen,Acetaminophen,"Headache, The Common cold, Backache Minor pain of arthritis, Toothache Muscular aches, Premenstrual and menstrual cramps",Adults and Children 12 years and over: 2 gelcaps every 6 hours while symptoms last.,-,en,
Pepto-Bismol Original Liquid,Bismuth Subsalicylate,"heartburn, nausea, indigestion, gas, belching, a feeling of fullness",Adults and children 12 years and older can take the following forms of Pepto-Bismol for up to 2 days.,"You should not use Pepto-Bismol if you have bleeding problems, blood in your stools, or if you are allergic to aspirin or other salicylates.
Do not give this medicine to a child or teenager with a fever, flu symptoms, or chickenpox.",en,
BENADRYL¢ç Allergy Dye-Free LIQUI-GELS¢ç,"Diphenhydramine, Antihistamine","Runny nose, Sneezing, Itchy, watery eyes, Itching of the nose or throat, Runny nose, Sneezing",Adults and children 12 years and over: 1 to 2 capsules,"Do not use : To make a child sleepy, With any other product containing diphenhydramine, even one used on skin
Ask a doctor before use if you have : A breathing problem such as emphysema or chronic bronchitis, Glaucoma, Trouble urinating due to an enlarged prostate gland",en,
Advil Liqui-Gels,Solubilized ibuprofen equal,"Headache, Toothache, Backache, Menstrual cramps, The common cold, Muscular aches, Minor pain of arthritis, Fever",12 years of age and older: 1 capsule every 4 to 6 hours while symptoms persist.,"Use this medicine exactly as directed. Taking too much diphenhydramine can lead to serious heart problems, seizures, coma, or death.",en,
Advil PM Liqui-Gels,Solubilized ibuprofen equal,"Occasional sleeplessness when associated with minor aches and pains, Fall asleep",12 years of age and older: Take 2 caplets at bedtime.,"Use this medicine exactly as directed. Taking too much diphenhydramine can lead to serious heart problems, seizures, coma, or death.",en,
CHILDREN¡¯S ZYRTEC¢ç DISSOLVE TABS,Cetirizine HCl,"Runny nose, Sneezing, Itchy, watery eyes, Itching of the nose or throat",Adults and children 6 years and over: One 10 mg tablet once daily; do not take more than one 10 mg tablet in 24 hours.,"Do not use : if you have ever had an allergic reaction to this product or any of its ingredients, or to an antihistamine containing hydroxyzine.
Ask a doctor before use : if you have liver or kidney disease. Your doctor should determine if you need a different dose.",en,
DELSYM¢ç 12 HOUR ORANGE COUGH SYRUP,Dextromethorphan polistirex equivalent,"cough due to minor throat and bronchial irritation as may occur with
 the common cold or inhaled irritants, the impulse to cough to help you get to sleep",Adults and Children 12 years of age and over: 10 mL every 12 hours not to exceed 20 mL in 24 hours,"Do not use : if you are now taking a prescription monoamine oxidase
inhibitor, or for 2 weeks after stopping the MAOI drug.
Ask a doctor before use if you have : chronic cough that lasts as occurs with smoking, asthma or emphysema, cough that occurs with too much phlegm",en,
Maximum Strength 12 Hour Cough & Mucus Extended-Release Tablets,"Dextromethorphan HBr, Guaifenesin","Helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive, Cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants, The intensity of coughing","12 YEARS AND OLDER: 1 tablet every 12 hours, not more than 2 tablets in 24 hours",-,en,
