name,ingredients,effect,dosage,caution,nation,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가모사드정,"	모사프리드시트르산염수화물","기능성소화불량으로 인한 소화기증상(속쓰림, 구역, 구토)",성인: 모사프리드시트르산염무수물로서 1일 15 mg을 3회로 나누어 식전 또는 식후에 경구투여한다.,"다음 환자에는 투여하지 말 것. 이 약은 유당을 함유하고 있으므로, 갈락토오스 불내성(galactose intolerance), Lapp 유당분해효소 결핍증(Lapp lactase deficiency) 또는 포도당-갈락토오스 흡수장애(glucose-galactose malabsorption) 등의 유전적인 문제가 있는 환자에게는 투여하면 안 된다.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가모피드정,"	모사프리드시트르산염수화물","기능성소화불량으로 인한 소화기증상(속쓰림, 구역, 구토)",성인: 모사프리드시트르산염무수물로서 1일 15 mg을 3회로 나누어 식전 또는 식후에 경구투여한다.,"중대한 이상반응 : 전격성간염, 간기능 장애와 황달(각 0.1 %미만) : 전격성간염, 현저한 AST, ALT, γ-GTP의 상승 등을 동반한 심각한 간기능 장애, 황달이 나타나는 경우가 있고, 사망에 이른 예도 있으므로, 충분히 관찰하고, 이상이 확인되는 경우에는 즉시 투여를 중지하고, 적절한 처치를 실시한다.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가바틴정600mg,가바펜틴,"1. 간질
  단독요법 및 부가요법(새롭게 발작으로 진단된 환자의 치료 포함) : 만 13세 이상 청소년 혹은 성인에서의 2차적 전신증상이 동반하거나 동반하지 않은 단순/복합 부분발작
2. 신경병증성 통증","이 약 초기용량을 투여 시 100 mg, 300 mg, 400 mg 캡슐제를 이용할 수 있다.
유지용량을 투여 시에는 600 mg, 800 mg 정제 및 300 mg, 400 mg 캡슐제를 이용할 수 있고, 혈액투석이 필요한 환자에 100 mg 캡슐제를 이용할 수 있다. 치료효과를 나타내는데 있어 캡슐제와 정제 두 제형의 차이는 없다. 투여용량은 환자 개개인의 내약성과 유효성에 근거하여 의사의 판단에 의해 결정되어야 한다.","다음 환자에게는 투여하지 말 것.
1) 이 약 또는 이 약의 구성성분에 과민반응이 있거나 그 병력이 있는 환자
2) 급성췌장염 환자
3) 전신 소발작(absence seizure) 혹은 이를 포함하는 발작 혼합 환자(유효하지 않음)
4) 이 약은 유당을 함유하고 있으므로, 갈락토오스 불내성(galactose intolerance), Lapp 유당분해효소 결핍증(Lapp lactase deficiency) 또는 포도당.갈락토오스 흡수장애(glucose-galactose malabsorption) 등의 유전적인 문제가 있는 환자에게는 투여하면 안 된다.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가바틴정800mg,가바펜틴,"1. 간질
  단독요법 및 부가요법(새롭게 발작으로 진단된 환자의 치료 포함) : 만 13세 이상 청소년 혹은 성인에서의 2차적 전신증상이 동반하거나 동반하지 않은 단순/복합 부분발작
2. 신경병증성 통증","이 약 초기용량을 투여 시 100 mg, 300 mg, 400 mg 캡슐제를 이용할 수 있다.
유지용량을 투여 시에는 600 mg, 800 mg 정제 및 300 mg, 400 mg 캡슐제를 이용할 수 있고, 혈액투석이 필요한 환자에 100 mg 캡슐제를 이용할 수 있다. 치료효과를 나타내는데 있어 캡슐제와 정제 두 제형의 차이는 없다. 투여용량은 환자 개개인의 내약성과 유효성에 근거하여 의사의 판단에 의해 결정되어야 한다.
","다음 환자에게는 투여하지 말 것.
1) 이 약 또는 이 약의 구성성분에 과민반응이 있거나 그 병력이 있는 환자
2) 급성췌장염 환자
3) 전신 소발작(absence seizure) 혹은 이를 포함하는 발작 혼합 환자(유효하지 않음)
4) 이 약은 유당을 함유하고 있으므로, 갈락토오스 불내성(galactose intolerance), Lapp 유당분해효소 결핍증(Lapp lactase deficiency) 또는 포도당.갈락토오스 흡수장애(glucose-galactose malabsorption) 등의 유전적인 문제가 있는 환자에게는 투여하면 안 된다.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	가베스캡슐","	클레보프리드말산염,시메티콘","1. 공기연하증 및 고창에 수반하는 다음의 소화기능이상 : 고창성 소화불량, 신경성 위장장애, 과민성대장증후군
2. 엑스선 촬영시 장내 가스제거
3. 수술후 고창에 수반하는 소화기능이상",성인 : 1회 1캡슐 1일 3회 식전 복용한다.,"1. 다음 환자에는 투여하지 말 것.
  1) 위장출혈ㆍ폐색ㆍ천공환자
  2) 신경이완제를 투여받고 있는 만발성 운동장애 환자
2. 다음의 경우에는 신중히 투여할 것.
  1) 고령자
  2) 이 약은 황색5호(선셋옐로우 FCF, Sunset Yellow FCF)를 함유하고 있으므로 이 성분에 과민하거나 알레르기 병력이 있는 환자에는 신중히 투여한다.
",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가베스판연질캡슐,"	시메티콘,알베린시트르산염","위장관계 경련의 진경 및 장내 가스 제거, 복부팽만으로 인한 소화기계 통증의 경감","성인: 1회 1캡슐, 1일 2〜3회 식전에 복용한다.","1. 다음환자에게는 투여하지 말 것
1) 이 약의 성분에 과민증이 있는 환자
2) 저혈압 환자
3) 무력성 장폐색증 환자
2. 다음 환자에는 신중히 투여할 것
이 약은 황색5호(선셋옐로우 FCF, Sunset Yellow FCF)를 함유하고 있으므로 이 성분에 과민하거나 알레르기 병력이 있는 환자에는 신중히 투여한다.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가스루정,"	모사프리드시트르산염수화물","기능성소화불량으로 인한 소화기증상(속쓰림, 구역, 구토)",성인: 모사프리드시트르산염무수물로서 1일 15 mg을 3회로 나누어 식전 또는 식후에 경구투여한다.,"다음 환자에는 투여하지 말 것.

이약은유당을함유하고있으므로,갈락토오스불내성(galactoseintolerance),Lapp유당분해효소결핍증(Lapplactosedeficiency)또는포도당-갈락토오스흡수장애(glucose-galactosemalabsorption)등의유전적인문제가있는환자에게는투여하면안된다.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가스모빌정,"	모사프리드시트르산염수화물","기능성소화불량으로 인한 소화기증상(속쓰림, 구역, 구토)",성인: 모사프리드시트르산염무수물로서 1일 15mg을 3회로 나누어 식전 또는 식후에 경구투여한다. ,"다음 환자에는 투여하지 말 것.
   이 약은 유당을 함유하고 있으므로, 갈락토오스 불내성(galactose intolerance),  
   Lapp 유당분해효소 결핍증(Lapp lactase deficiency) 또는 포도당-갈락토오스 흡수장애(glucose-galactose malabsorption) 등의 유전적인 문제가 있는 환자에게는 투여하면 안 된다. 
",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가스모틴정5밀리그램,모사프리드시트르산염수화물,"기능성소화불량으로 인한 소화기증상(속쓰림, 구역, 구토)",성인: 모사프리드시트르산염무수물로서 1일 15 mg을 3회로 나누어 식전 또는 식후에 경구투여한다.,"일반적 주의 : 일정기간(보통 2주) 투여하여도 소화기 증상의 개선이 보이지 않을 경우 장기간 투여하지 않는다.
",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나노크라정375mg,"	아목시실린수화물,묽은클라불란산칼륨","○ 유효균종
*황색포도구균, *표피포도구균, 스트렙토콕쿠스 피오게네스(그룹 A-베타용혈성), 폐렴연쇄구균, 스트렙토콕쿠스 비리단스, 엔테로콕쿠스 파이칼리스, 코리네박테륨, 탄저균, 리스테리아 모노사이토제니스, 클로스트리듐, 펩토구균, 펩토연쇄구균, *대장균, *프로테우스 미라빌리스, *프로테우스 불가리스, *클레브시엘라, *살모넬라, *시겔라, 보르데텔라 백일해, *예르시니아 엔테로콜리티카, 부루셀라, 수막염균, *임균, *모락셀라 카타랄리스, *인플루엔자균, 동물 파스퇴렐라증 병원균, 공장캄필로박터, 콜레라균, *박테로이드(박테로이디즈 프라질리스 포함)
(*:암피실린 및 아목시실린에 내성이 있는 베타락타마제 생성균주 포함)

","인 및 12세 이상 또는 체중 40 kg 이상 소아 : 아목시실린/클라불란산칼륨으로서 1회 250 mg/125 mg, 1일 3회 8시간마다 경구투여하며 중증 및 호흡기 감염 시 아목시실린/클라불란산칼륨으로서 1회 500 mg/125 mg으로 증량할 수 있다.","다음 환자에는 투여하지 말 것.
1) 이 약의 성분 또는 베타락탐계(페니실린계, 세펨계)에 과민반응(예, 아나필락시스, 피부점막안증후군(스티븐스-존슨 증후군), 쇼크 포함)의 병력이 있는 환자(베타락탐계 약물에 교차 과민반응의 우려가 있다)
2) 동반감염 바이러스 질환 특히 전염단핵구증 및 림프성백혈병 환자(발진위험이 증가할 수 있다)
3) 이 약 또는 페니실린에 의한 황달 또는 간기능 장애의 병력이 있는 환자(재발할 수 있다)",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
