name,ingredients,effect,dosage,caution,nation,image
Acemetin - Dược phẩm Hà Tây,"Mỗi gói (1,0g) thành phẩm chứa:
Acetylcystein 200mg
Tá dược vđ 1 gói","Acetylcystein (N - acetylcystein) là dẫn chất N - acetyl cua L - cystein, một amino acid tự nhiên. Acetylcystein có tác dụng làm tiêu chất nhày do sulhydryl tự do làm giảm độ quánh của đờm ở phôi có mủ hoặc không bằng cách tách đôi câu nôi disulfua trong mucoprotein và tạo thuận lợi để tống đờm ra ngoài bằng ho, dẫn lưu tư thế hoặc bằng phương pháp cơ học.
Hấp thu: Sau khiuống, acetylcystein được hấp thu nhanh ở đường tiêu hóa và bị gan khử acetyl thành cystein và sau đó được chuyền hóa.
Phân bố: Đạt nồng độ đỉnh huyết tương trong khoảng 0,5 đến 1 giờ sau khi uống liều 200 đến 600 mg. 83% thuốc gắn với protein huyết tương. Thể tích phân bố Vd là 0,47 liVkg.
Chuyển hóa: Chuyên hóa trong gan thành cystein (chất chuyển hóa có hoạt tính dược lý), diacetylcystein, cystein và disulphides hỗn hợp.
Thải trừ: Acetylcystein được thải ra hầu như chỉ ở dạng các chất chuyển hóa không hoạt động (sulphat vô cơ, diacetylcystein) qua thận. Thời gian bán thai, trong huyết tương acetylcystein khoảng 1 giờ và chủ yếu được xác định bởi sự chuyền lóa ở-gấn nhanh. Chức năng gan suy yếu dẫn đến thời gian bán huỷ trong huyết tương kéo dài lên đến 8 giờ. Độ thanh thải ở thận chiếm 30% độ thanh thải toàn thân.
Được dùng làm thuốc tiêu chất nhay trong bệnh nhày nhớt (mucoviscidosis),
Bệnh lý hô hấp có đờm nhay quánh như trong viêm phế quản cấp và mạn tính, viêm mũi, viêm thanh quản, viêm xoang, viêm tai giữa tiết dịch.",Người lớn và trẻ em trên 7 tuổi: Uống 1 gói/lần x 3 lần/ngày.,"Mẫn cảm với một trong các thành phần của thuốc.
Tiền sử hen (nguy cơ phản ứng co thắt phế quản với tất cả các dạng thuốc có chứa
acetylcystein).
Trẻ em đưới 2 tuổi.
Phải giám sát chặt chế người bệnh có nguy cơ phát hen, nếu dùng acetylcystein cho người có tiền sử dị ứng; nếu có co thắt phế quản, phải dùng thuốc phun mù giãn phế quản như salbutamol (thuốc betaa adrenergic chọn lọc, tác dụng ngắn) hoặc ipratropium (thuốc kháng muscarin) và phải ngừng acetylcystein ngay.
Khiđiều trị với acetylcystein, có thể xuất hiện nhiều đờm loãng ở phế quản, cần phải hút để lấy ra nếu người bệnh giảm khả năng ho.
Sốc phản vệ dẫn đến tử vong khi dùng acetylcystein đã được báo cáo, thường xảy ra trong khoảng 30-60 phút, cần theo dõi và ngừng thuốc nếu phản ứng xảy ra và xử lý kịp thời. Kiểm soát chặt chẽ hơnđối với trẻ em vàngười bệnh có thể trọng dưới 40kg. Nếu có nôn đữ dội khi uống thuốc thì cần theo dõi chảy máu dạ dày hoặc giãn thực quản, loét dạ dày.
Sử dụng thuốc cho phụnữ có thai và cho con bú: Do chưa có dữ liệu nghiên cứu trên người nên chỉ sửdụng thuốc cho phụ nữ có thai và cho con bú khi thật cần thiết theo sự chỉ dẫn cụ thể của thầy thuốc.
Sử dụng thuốc cho người lái xe và vận hành máy móc: Do thuốc có các tác dụngkhông mong muốn: buồn ngủ, nhức đầu, ù tai...với tần suất ít gặp, cần thận trọng chốTigEờHdái xe và vận hành máy móc. `",vi,
Efferalgan,"Hoạt chất: Paracetamol 500mg.
Tá dược: Acid citric khan, Natri carbonat khan, Natri hydrogen carbonat, sorbitol, Natri saccharin, Natri docusate, povidone, Natri benzoat, vừa đủ cho một viên nén sủi bọt.","Thuốc này chứa paracetamol.
Thuốc dùng điều trị các chứng đau và/hoặc sốt như đau đầu, tình trạng như cúm, đau răng, nhức mỏi cơ, đau bụng kinh.
","Thông thường không cần thiết vượt quá 3000mg paracetamol một ngày (khoảng 6 viên một ngày). Tuy nhiên, trong trường hợp đau nhiều và theo khuyến cáo của bác sĩ, trong liều dùng thuốc có thể tăng đến 4000mg một ngày (khoảng 8 viên một ngày).
Tuy vậy:
Liều cao hơn 3000mg paracetamol một ngày phải có ý kiến của bác sĩ.
KHÔNG BAO GIỜ ĐƯỢC DÙNG HƠN 4000MG PARACETAMOL TRONG MỘT NGÀY (có tính đến tất cả các thuốc có chứa paracetamol).
Khoảng cách giữa các lần dùng thuốc ít nhất là 4 giờ.","Thuốc này không được dùng trong những trường hợp sau:
Dị ứng với paracetamol hoặc với propacetamol hydrocloride (tiền chất của paracetamol) hoặc các thành phần khác của thuốc.
Bệnh gan nặng.
Nếu triệu chứng đau dai dẳng quá 5 ngày hoặc còn sốt quá 3 ngày, hoặc thuốc chưa đủ hiệu quả, hoặc thấy xuất hiện các triệu chứng khác, không tiếp tục điều trị mà không hỏi ý kiến bác sĩ của bạn.
Trường hợp ăn kiêng muối hoặc ăn nhạt (giảm muối) cần nhớ là trong mỗi viên thuốc có chứa 412,4mg Na để tính vào khẩu phần ăn hàng ngày.
Không nên dùng thuốc này trên những bệnh nhân không dung nạp với fructose (một bệnh hiếm gặp về chuyển hóa).",vi,
Aspirin,Aspirin 81 mg,"Chống kết dính tiểu cầu.
Ức chế sự hình thành huyết khối.
Aspirin - 100 được sử dụng dự phòng nhồi máu cơ tim thứ phát và đột quỵ trong các trường sau:
Có tiền sử bị nhồi máu cơ tim (đau tim).
Có tiền sử bị đột quy do thiếu máu não cục bộ hoặc đột quy do thiếu máu não thoáng qua (đột quy nhẹ).
Đau thắt ngực ổn định hoặc không ổn định.
Đã phẫu thuật tim như thủ thuật tạo hình mạch hay phẫu thuật đặt ống tim","Uống 1 viên ngay sau bữa ăn, dùng lâu dài.
Lưu ý: Uống nguyên cả viên thuốc, không bẻ hoặc nhai thuốc trước khi uống.
Nên tham khảo ý kiến của thầy thuốc trước khi dùng.","Mẫn cảm với bất cứ thành phâdn nào của thuốc
Người có bệnh ưa chảy máu, giảm tiểu cầu, sốt xuất huyết, suy gan hoặc suy thận nặng.",vi,
Ibuprofen,Tinh bột ngô,"lbuprofen có tác dụng dược lý tương tự như các thuốc kháng viêm không steroid cỗ điển khác. lbuprofen ức chế sự tổng hợp của các prostaglandin ở các mô cơ thể do ức chế cyclooxygenase; ít nhất 2 isoenzym, cyclooxygenase-1 (COX-1) và -2 (COX-2) (tương ứng với prostaglandin G/H synthase-1 [PGHS-1] va -2 [PGHS-2]), xúc tác theo con đường acid arachidonic.
Ibuprofen là thuốc kháng viêm không steroid, dẫn xuất từ acid propionic. Giống như các thuốc kháng viêm không steroid khác, ibuprofen có tác dụng giảm đau, hạ sốt và kháng viêm. Cơ chế tác dụng của thuốc là ức chế prostaglandin synthetase và do đó ngăn tạo ra prostaglandin, thromboxan và các sản phẩm khác của cyclooxygenase. lbuprofen cũng ức chế tổng hợp prostacyclin ở thận và có thể gây nguy cơ ứ nước do làm giảm dòng máu tới thận. Cần phải để ý đến điều này đối với các người bệnh bị suy thận, suy tim, suy gan và các bệnh có rồi loạn về thể tích huyết tương. Tác dụng kháng viêm của ibuprofen xuất hiện sau hai ngày điều trị. lbuprofen có tác dụng hạ sốt mạnh hơn aspirin, nhưng kém indomethacin. Thuốc có tác dụng kháng viêm tốt và có tác dụng giảm đau tốt trong điều trị viêm khớp dạng tháp thiếu niên. lbuprofen là thuốc an toàn nhát trong các thuốc chống viêm không steroid.
Ibuprofen được hấp thu qua đường tiêu hóa và đạt nồng độ đỉnh trong huyết tương sau khi uống khoảng 1 - 2 giờ. Khoảng 90 - 99% ibuprofen được gắn kết với protein huyết tương và nửa đời thải trừ khoảng 2 giờ. Thuốc được đào thải nhanh qua nước tiểu chủ yếu dưới dạng chất chuyển hóa và dạng liên hợp. Khoảng 1% được bài tiết qua nước tiểu dưới dạng không đổi và khoảng 14% dưới dạng ibuprofen liên hợp.
lbuprofen được dùng để điều trị đau và viêm từ nhẹ đến vừa trong các trường hợp sau",lbuprofen được dùng để điều trị đau và viêm từ nhẹ đến vừa trong các trường hợp sau,"Mẫn cảm với ibuprofen.
Loét dạ dày tá tràng tiến triển.
Quá mẫn với aspirin hay với các thuốc chống viêm không steroid khác (hen, viêm mũi, nổi mày đay sau khi dùng aspirin).
Người bệnh bị hen hay bị co thắt phế quản, rối loạn chảy máu, bệnh tim mạch, tiền sử loét dạ dày tá tràng, suy gan hoặc suy thận (lưu lượng lọc cầu thận dưới 30 ml/phút).
Người bệnh đang được điều trị bằng thuốc chống đông coumarin.
Người bệnh bị suy tim sung huyết, bị giảm khối lượng tuân hoàn do thuốc lợi niệu hoặc bị suy thận (tăng nguy cơ rối loạn chức năng thận).
Người bệnh bị bệnh tạo keo (có nguy cơ bị viêm màng não vô khuẩn. Cần chú ý là tất cả các người bệnh bị viêm màng não vô khuẩn đều đã có tiền sử mắc một bệnh tự miễn).
3 tháng cuối của thai kỳ.",vi,
Ondansetron,Ondansetron,"Ngăn chặn cảm giác buồn nôn và phản xạ nôn sau những đợt hóa trị, xạ trị ung thư, hay sau phẫu thuật.
Ondansetron là chất đối kháng thụ thể 5 - HT; có chọn lọc cao. Cơ chế tác dụng chính xác của thuốc trong việc kiểm soát nôn chưa được biết rõ. Hóa trị liệu và xạ trị có thể gây giải phóng 5HT ở ruột non và gây phản xạ nôn bằng cách hoạt hóa dây thần kinh phế vị thong qua thụ thể 5HT3. Ondansetron có tác dụng ức chế sự khởi đầu phản xạ này. Hoat hóa đây thần kinh phế vị cũng có thể gây giải phóng 5HT trong vùng postrema ở trên sản não thất IV và làm thúc đây nôn qua cơ chế trung tâm. Như vậy, tác dụng cha ondansetron trong điều trị buồn nôn và nôn do hóa trị liệu hoặc xạ trị có thể do đối kháng các thụ thể SHT; trên dây thần kinh ở cả ngoại vi và hệ thần kinh trung ương.","Cách dùng: Tiêm bắp hoặc tiêm tĩnh mạch. Cần lưu ý cách pha thuốc trước khi tiêm:
Phòng nôn khi điều trị bệnh ung thư: Ondansetron pha loãng với các dịch đẳng trương như natri clorid 0,9% hoặc 50 ml dextrose 5%, truyền tĩnh mạch chậm trong 15 phút.
Phòng nôn sau ca mổ: Thuốc được truyền trực tiếp qua tĩnh mạch trong khoảng 2-5 phút mà không cần pha loãng.
Thuốc đã pha nên được sử dụng ngay, hoặc chỉ bảo quản tối đa 1 ngày ở nhiệt độ 2-8 độ C. Cần đảm bảo vệ sinh vô khuẩn trong quá trình pha thuốc.","Chỉ nên sử dụng thuốc trước những đợt hóa trị liệu và phẫu thuật vì thuốc chỉ có tác dụng dự phòng chứ không thể chấm dứt các cơn nôn.
Cân nhắc khi sử dụng cho người bệnh có dấu hiệu tắc ruột và những người lớn tuổi bị suy gan, xơ gan.
Không nên sử dụng cho phụ nữ đang mang thai và cho con bú.
Trong thời gian sử dụng thuốc, người bệnh tuyệt đối tuân thủ theo chỉ định về liều của bác sĩ điều trị, tránh việc tăng hoặc giảm liều để đẩy nhanh thời gian điều trị bệnh.
Trước khi ngưng sử dụng thuốc, bệnh nhân cần xin ý kiến của bác sĩ điều trị.
Nếu nhận thấy thuốc xuất hiện các dấu hiệu lạ như đổi màu, biến dạng, chảy nước thì bệnh nhân không nên sử dụng thuốc đó nữa.
Thuốc cần được bảo quản ở những nơi khô ráo, có độ ẩm vừa phải và tránh ánh nắng chiếu trực tiếp.
Để xa khu vực chơi đùa của trẻ, tránh việc trẻ có thể uống phải thuốc mà không biết.",vi,
Simacone,Alverin citrat,"Alverin citrat có tác dụng trực tiếp đặc hiệu chống co thắt cơ trơn ở đường tiêu hóa và tử cung, nhưng không ảnh hưởng đến tim, mạch máu và cơ trơn khí quản ở liều điều trị.
Simethicon là chất phá hủy bong bóng hơi ở dạ dày và ruột, hiệu quả chống đầy hơi và trướng bụng.
Sau khi được hấp thu từ đường tiêu hóa, alverin citrat chuyển hóa nhanh chóng thành chất chuyển hóa có hoạt tính, nồng độ cao nhất trong huyết tương đạt được sau khi uống 1 – 1,5 giờ. Sau đó thuốc được chuyển hóa tiếp thành các chất không còn hoạt tính và được thải trừ ra nước tiểu bằng bài tiết tích cực ở thận. Thời gian bán thải trung bình là 0.8 giờ đối với alverin và 5.7 giờ cho các chất chuyển hóa có hoạt tính.
Simethicon không được hấp thu ở đường tiêu hóa. Chất này được đào thải qua phân.
Điều trị các triệu chứng do rối loạn chức năng đường mật và đường tiêu hóa.
Điều trị chứng đau bụng do đầy hơi.
Điều trị các triệu chứng co thắt vùng tiết niệu và sinh dục (triệu chứng như đau đường niệu, đau bụng kinh, đau quặn thận,…).
Cải thiện triệu chứng ói mửa do rối loạn tiêu hóa và trướng khí dạ dày.
Điều trị hỗ trợ cho bệnh nhân có vấn đề về tắc nghẽn hơi.","Uống thuốc với nước lọc
Nên nuốt trọn viên thuốc
Không dùng thuốc với các thức uống khác, chẳng hạn như cà phê, trà và sữa. Những thức uống này có thể làm gián đoạn quá trình hấp thu thuốc. Không nên nhai hoặc nghiền thuốc. Điều này có thể ảnh hưởng đến hoạt động và tác dụng điều trị.
Liều dùng thông thường cho người trưởng thành
Dùng 1 – 2 viên/ lần
Ngày dùng 2 – 3 lần
Nên dùng sau khi ăn và trước khi ngủ","Chống chỉ định thuốc Simacone cho các trường hợp sau:
Dị ứng với bất cứ thành phần nào trong thuốc.
Mất trương lực ruột.
Tắc ruột.
Bạn nên thông báo với bác sĩ những loại thuốc, thành phần tá dược từng bị dị ứng và các vấn đề sức khỏe để được cân nhắc việc sử dụng Simacone.",vi,
Metoran,Metoclopramid hydroclorid,"Metoclopramid là chất phong bế thụ thể dopamin, đối kháng với tác dụng trung ương và ngoai vi của dopamin, làm các thụ thể ở đường tiêu hóa nhạy cảm với acetylcholin. Thuốc làm tăng nhu động của hang vi, tá tràng, hỗng tràng. Metoclopramid giảm độ giãn phần trên dạ dày và tăng độ co bóp của hang vi. Vì vậy kết hợp 2 tác dụng trên làm dạ dày rỗng nhanh và giảm trào ngược từ tá tràng và dạ dày lên thực quản. Các tác dụng này quan trọng trong sử dụng metoclopramid như một thuốc tăng nhu động. Tính chất chống nôn của metoclopramid là do tác dụng kháng dopamine trực tiếp lên vùng phát động hóa thụ thể và trung tâm nôn và do tác dụng đối kháng lên thụ thể serotonin-SHT3.
Metoclopramid ít liên kết với protein huyết tương (chỉ khoảng 13-30%), chủ yếu liên kết với albumin.
Thuốc phân bố nhanh vào hầu hết các mô và đễ dàng qua hàng rào máu não và nhau thai. Thể tích phân bố biểu kiến trênngười lớn khoảng 2,2 - 3,5 lít/kg và trên trẻ em là 1,92- 4,4 lít/kg.
Nồng độ thuốc trong sữa có thể cao hơn trong huyết tương.
Dự phòng nôn và buồn nôn hậu phẫu.
Dự phòng nôn và buồn nôn do xạ trị.
Điều trị triệu chứng nôn và buồn nôn, bao gồm cả nôn và buồn nôn do đau nửa đầu cấp tính.
","Tổng liều hàng ngày không nên quá 0,5 mg/kg trọng lượng cơ thể. Cần phải giảm liều trong các trường hợp suy gan, thận và khi dùng thuốc này cho trẻ nhỏ để đề phòng phản ứng loạn trương lực cơ (dystonia).
Liều theo chỉ định của Bác sỹ hoặc theo liều thường dùng là:
Từ 15 - 19 tuổi: 5 mg/lần, 3 lần/ngày (với cân nặng 30 - 59 kg trở lên), nếu người nặng 60 kg trở lên: 10 mg/lần, 3 lần/ngày.
Từ 9 - 14 tuổi: 5 mg/lần, 3lần/ngày (với cân nặng 30 kg trở lên).
Từ 5 - 9 tuổi: 2,5 mg/lần, 3 lần/ngày (với cân nặng 20 - 29 kg).
Từ 3 - 5 tuổi: 2 mg/lần, 2 - 3 lần/ngày (với cân nặng 15 - 19 kg).
Từ 1 - 3 tuổi: 1 mg/lần, 2 - 3 lần/ngày (với cân nặng 10 - 14 kg).
Trẻ dưới 1 tuổi và cân nặng dưới 10 kg dùng 1 mg/lần, 2 lần/ngày.
Ðiều trị trào ngược dạ dày thực quản: Người lớn: 10 mg/liều tiêm bắp hoặc tiêm tĩnh mạch trước bữa ăn.
Phòng nôn do hóa trị liệu: Người lớn: (hóa dược có tiềm năng gây nôn mạnh): 2 mg/kg truyền tĩnh mạch trong vòng ít nhất 15 phút, và có thể lặp lại khi cần cách 2 hoặc 3 giờ 1 lần; (hóa dược có tiềm năng gây nôn thấp 1 mg/kg có thể đủ). Tổng liều dù truyền liên tục hay gián đoạn thông thường không được vượt quá 10 mg/kg trong 24 giờ.","Quá mẫn với metoclopramid hoặc bất kỳ thành phần nào của thuốc.
Chảy máu tiêu hóa, tắc nghẽn cơ học hoặc thủng dạ dày ruột do thuốc làm tăng nhu động ruột và có thể khiến tình trạng bệnh nhân nặng nề hơn.
U tủy thượng thận hoặc nghi ngờ u tủy thượng thận do nguy cơ gây các cơn tăng huyết áp kịch phát.
Có tiền sử rối loạn vận động do metoclopramid hoặc rối loạn vận động do thuốc an thần.
Động kinh, Parkinson.
Dùng phối hợp với levodopa hoặc các thuốc chủ vận dopamin.
Có tiền sử methemoglobin huyết do metoclopramid hoặc thiếu men NADH cytochrome B5 reductase.
Trẻ dưới 1 tuổi.",vi,
Loperamid,Loperamid hydroclorid,"Làm giảm triệu chứng tiêu chảy cấp không đặc hiệu, tiêu chảy mạn tính do viêm đường ruột.
Làm giảm khối lượng phân cho những bệnh nhân có thủ thuật mở thông hồi tràng.
Loperamid là dược phẩm chứa hoạt chất gắn kết với thụ thể opiat tại thành ruột, làm giảm tính kích ứng niêm mạc và kích thích gây co thắt ống tiêu hóa. Làm giảm nhu động ruột đẩy tới, kéo dài thời gian lưu thông trong lòng ruột. Loperamid làm tăng trương lực cơ thắt hậu môn vì vậy làm giảm bớt sự gấp gáp trong phản xạ đại tiện không kìm chế.
Do thuốc có ái lực cao với ruột và chuyển hóa chủ yếu khi qua gan lần đầu nên khó đến hệ thống tuần hoàn. Loperamid ức chế nhu động ruột do ảnh hưởng ngoại biên trực tiếp của nó lên thành ruột. Nghiên cứu ở động vật cho thấy rằng hiệu ứng ảnh hưởng đến hệ thần kinh trung ương chỉ xuất hiện khi sử dụng thuốc ở liều vượt quá liều sử dụng cho con người. Vì vậy, có thể sử dụng loperamid một cách hợp lý để điều trị triệu chứng tiêu chảy cấp và mạn tính, làm tăng thời gian lưu thông và hấp thu ở những bệnh nhân sau phẫu thuật mở thông hồi tràng.","Tiêu chảy cấp:
Người lớn: Liều khuyến cáo khởi đầu là 4 mg tiếp theo 2 mg sau mỗi lần đi tiêu chảy. Liều hàng ngày không được quá 16 mg. Thường thấy có tiến triển lâm sàng trong vòng 48 giờ.
Liều duy trì: 1 mg/10 kg thể trọng. Chỉ uống sau một lần đi ra ngoài. Tổng liều duy trì không nên vượt quá liều khuyến cáo cho ngày đầu tiên.
Loperamid không được khuyến cáo dùng cho trẻ em một cách thường quy trong tiêu chảy cấp, không khuyến cáo dùng cho trẻ dưới 6 tuổi.
Tiêu chảy mạn:
Người lớn: Liều khuyến cáo cho khởi đầu là 4 mg tiếp theo 2 mg sau mỗi lần đi tiêu lỏng cho đến khi kiểm soát được tiêu chảy, sau đó nên giảm liều tùy theo nhu cầu của mỗi cá nhân. Khi đã được xác định liều tối ưu hàng ngày, có thể dùng liều này một lần hoặc chia nhiều lần
Liều duy trì hàng ngày trung bình trong các nghiên cứu lâm sàng là 4 -8 mg. Hiếm khi vượt quá liều 16 mg. Hầu như không kiểm soát được các triệu chứng ở liều cao hơn nếu lâm sang không cải thiện sau khi điều trị với liều 16 mg/ngày trong ít nhất 10 ngày. Có thể tiếp tục dùng thuốc nếu tiêu chảy không được kiểm soát thỏa đáng bằng chế độ ăn uống hoặc điều trị đặc hiệu.","Mẫn cảm với loperamid
Bệnh nhân cần tránh ức chế nhu động ruột
Bệnh nhân có tổn thương chức năng gan
Bệnh tiêu chảy có liên quan với viêm đại tràng màng giả hoặc vi khuẩn sản xuất enterotoxin
Hội chứng lỵ, trướng bụng.",vi,
Enfurol,Nifuroxazide,"Tiêu chảy cấp do nhiễm khuẩn, không có dấu hiệu xâm lấn (suy giảm tổng trạng, sốt cao, dấu hiệu nhiễm khuẩn, nhiễm độc,…). Cần phối hợp với liệu pháp bù nước.","Dạng thuốc này thích hợp cho người lớn và trẻ em trên 6 tuổi.
Điều trị tối đa trong 7 ngày.
Người lớn: uống 1 viên/lần, ngày 3– 4 lần.","Có tiền sử dị ứng với dẫn chất của Nitrofurane hoặc với bất kỳ thành phần nào của thuốc.
Trẻ nhỏ hơn 1 tháng tuổi và trẻ sinh thiếu tháng.",vi,
Zincfant,Kẽm,"Zincfant® 20mg Tablet được chỉ định để điều trị tiêu chảy cấp và dai dẳng ở trẻ sơ sinh và trẻ em đến 5 tuổi.
Sản phẩm này được thiết kế để sử dụng ở trẻ em. Tuy nhiên, thông tin an toàn được cung cấp với sự tôn trọng đến các vấn đề sức khỏe của người lớn như bệnh gan, mang thai và cho con bú, để cho phép truy cập đầy đủ vào tất cả thông tin liên quan.","Đối với tiêu chảy cấp và dai dẵng.
Đối với trẻ dưới 6 tháng tuổi: viên mỗi ngày một lần trong 10-14 ngày.
Đối với trẻ 6 tháng tuổi đến 5 tuổi: 1 viên mỗi ngày một lần trong 10-14 ngày.
Viên nén (hoặc một nửa viên) nên được phân tán hoàn toàn trong 1 muỗng cà phê (5 ml) nước sạch hoặc sữa và toàn bộ lượng dùng cho trẻ sơ sinh hoặc trẻ nhỏ.
Nên dùng liều giữa các bữa ăn và liều lặp lại nếu bị nôn xảy ra trong vòng 30 phút.
Đối với các liều đã quên, có thể dùng liều còn thiếu càng sớm càng tốt, trừ khi có ít hơn 6 giờ cho đến liều tiếp theo.","Các loại thuốc có thể ức chế sự hấp thụ kẽm, như penicillamine, natri valproate và ethambutol, không nên dùng chung với viên nén Zincfant® 20mg, trừ khi có nguy cơ ngừng sử dụng
Thuốc được đánh giá là vượt trội hơn lợi ích của kẽm trong điều trị bệnh tiêu chảy ở trẻ em.
Tá dược
Viên nén Zincfant® 20mg chứa aspartame, một nguồn phenylalanine. Điều này nên được xem xét khi kê toa sản phẩm cho bệnh nhân bị phenylketon niệu.",vi,
