name,ingredients,effect,dosage,caution,nation,image
PREDNISOLON 5MG,"Prednisolon 5mg
Tá dược vđ 1 viên","Điều trị các chứng bệnh: Viêm khớp, bệnh Addisson, suy vỏ thượng thận cấp, các bệnh ở mô tạo keo, cơn hen phế quản, phản ứng quá mẫn cảm, một số bệnh ở  hệ tạo huyết và viêm ở mắt (như viêm kết mạc, giác mạc, mống mắt).","Cách dùng và liều dùng prednisolon phụ thuộc vào bệnh cần điều trị và đáp ứng của từng người bệnh. Liều lượng với trẻ nhỏ và trẻ em phải dựa vào tình trạng nặng nhẹ và đáp ứng của người bệnh hơn là dựa 1 cách chính xác vào liều lượng chỉ dẫn theo tuổi và cân nặng hoặc diện tích cơ thể. Sau khi đã đạt được đáp ứng mong muốn, cần phải giảm liều dần dần tới mức vẫn duy trì được đáp ứng lâm sàng thích hợp, phải liên tục theo dõi người bệnh để điều chỉnh liều khi cần thiết. Khi cần phải điều trị prednisolon uống thời gian dài, nên xem xét phác đồ dùng thuốc cách nhật, một lần duy nhất vào buổi sáng theo nhịp tiết tự nhiên trong 24 giờ của corticosteroid: Như vậy sẽ ít tác dụng không mong muốn hơn vì có thời gian phục hồi giữa 2 liều. Sau khi điều trị dài ngày phải ngừng Prednisolon dần từng bước. Thông thường dùng theo liều sau.
* Với bệnh cấp tính:
- Người lớn: Bắt đầu uống 4 - 8 viên/ngày, sau đó giảm dần đến liều duy trì uống 1-3 viên/ngày, chia 3 lần.
- Trẻ em: Uống 1 - 2mg/kg thể trọng/ ngày, chia làm 3 lần.
* Lưu ý:  Khi uống prednisolon liều cao và dài ngày gây ra những tác dụng không mong muốn do:
- Prednisolon ức chế tổng hợp prostaglandin và như vậy làm mất tác dụng của prostaglandin trên đường tiêu hoá tức là làm mất tác dụng ức chế tiết acid dạ dày và bảo vệ niêm mạc dạ dày  ","Nhiễm khuẩn nặng, trừ sốc nhiễm khuẩn và lao màng não.
Đã biết quá mẫn với prednisolon.
Nhiễm trùng da do virus, nấm hoặc lao. Đang dùng vaccin virus sống.
Qui cách đóng gói: Hộp 50 vỉ x 20 viên     ",vi,
"PRESDILON 0,5MG","Dexamethason acetat 0,5mg                                                   
Tá dược vđ 1 viên","1. Điều trị một số chứng hay bệnh: Các biểu hiện dị ứng, nổi mề đay, sốc phản vệ, phù Quincke. Bệnh collagen và viêm tổ chức liên kết.
2. Dùng phối hợp với các cách điều trị khác trong phù não, trong sốc do nhiều nguyên nhân khác nhau.
3. Phòng ngừa bằng steroid trong phẫu thuật khi dự trữ glucocorticoid được coi là không đủ, trừ suy vỏ tuyến thượng thận tiên phát (bệnh Addison).
4. Dùng dexamethason trước khi sinh trong chuyển dạ trước kỳ hạn (giữa 24 và 34 tuần) để thúc đẩy quá trình trưởng thành thai (ví dụ phổi, mạch máu não).
Liệu pháp bổ trợ bằng dexamethason trong điều trị viêm màng não phế cầu.","Liều thông thường:
Liều ban đầu người lớn: Uống 0,75 - 9 mg/ngày, tùy theo bệnh và thường chia làm 2 - 4 liều.
Trẻ em: Uống 0,024 - 0,34 mg/kg/ngày, hoặc 0,66 - 10 mg/m2/ngày chia làm 4 liều.
Hoạt tính chống viêm của 750 microgam dexamethason tương đương vào khoảng 5 mg prednisolon.
Nguyên tắc chung: Liều dùng cần thay đổi tùy theo từng người bệnh, dựa trên bệnh tật và đáp ứng của người bệnh. Ðể giảm thiểu các tác dụng phụ, nên dùng liều nhỏ nhất có hiệu quả điều trị.
Chứng suy thượng thận thứ cấp vì thuốc, có thể do ngừng thuốc quá nhanh, và có thể được hạn chế bằng cách giảm liều từ từ sau nhiều tuần hoặc nhiều tháng tùy thuộc vào liều dùng, thời gian điều trị, nhưng vẫn có thể còn tồn tại nhiều tháng sau khi đã ngừng thuốc.","Chống chỉ định: 
Quá mẫn với dexamethason hoặc các hợp phần khác của chế phẩm; nhiễm nấm toàn thân, nhiễm virus tại chỗ hoặc nhiễm khuẩn lao, lậu chưa kiểm soát được bằng thuốc kháng khuẩn và khớp bị hủy hoại nặng.",vi,
PREDMESOL,"Methylprednisolon 4mg   
Tá dược vừa đủ 1 viên","Chỉ định:
Rối loạn nội tiết
1. Thiểu năng vỏ thượng thận nguyên phát hay thứ phát (hydrocortison hay cortison là thuốc được ưu tiên lựa chọn; những thuốc tổng hợp tương đồng có thể được dùng cùng với mineralocorticoid; ở trẻ em, sử dụng mineralocorticoid rất quan trọng).
2. Tăng sản thượng thận bẩm sinh.
Rối loạn do thấp khớp:
1. Viêm khớp do vẩy nến.
2. Viêm khớp dạng thấp, kể cả viêm khớp dạng thấp ở thiếu niên (một số trường hợp chọn lọc đòi hỏi liệu pháp duy trì liều thấp).
3. Viêm cột sống dính khớp.","1. Cách dùng: Uống thuốc sau bữa ăn hoặc với thức ăn hoặc sữa để làm giảm tác dụng phụ trên đường tiêu hóa.
2. Liều lượng:
Người lớn: Liều khởi đầu thay đổi từ 4 mg đến 48 mg methylprednisolon / ngày, thường chia làm 4 lần. Liều lượng tùy thuộc vào bệnh đặc hiệu cần điều trị. Sau khi có đáp ứng thuận lợi cần xác định liều duy trì bằng cách giảm liều khởi đầu với từng nấc nhỏ, với các khoảng cách thời gian thích hợp cho tới liều thấp nhất mà vẫn giữ vững được đáp ứng lâm sàng đầy đủ. Sau khi điều trị dài ngày mà muốn ngừng thuốc thì phải ngừng thuốc dần dần, không ngừng đột ngột.","Chống chỉ định: 
Bệnh nhân nhiễm nấm hệ thống.
Bệnh nhân nhiễm khuẩn hệ thống chưa được điều trị chống nhiễm khuẩn.
Quá mẫn với bất kỳ thành phần nào của thuốc.
Dùng vaccin sống hoặc vaccin sống giảm độc lực khi đang dùng liều ức chế miễn dịch của corticosteroid.",vi,
HAMISTYL 10MG (VỈ ALU-ALU),Loratadin 10mg,"Điều trị các triệu chứng liên quan viêm mũi dị ứng. Các dị ứng khác như mề đay, các rối loạn dị ứng
ngoài da.",Xem tờ hướng dẫn sử dụng kèm trong hộp,"Đối tượng sử dụng: 
Người có các triệu chứng liên quan viêm mũi dị ứng như: hắt hơi, chảy nước mũi, ngứa mũi, kể cả ngứa mắt và nóng mắt. Các triệu chứng và dấu hiệu mày đay tự phát mãn tính và các rối loạn dị ứng khác.",vi,
TERPINCOLD (LỌ),"Terpin hydrat 100mg
Codein 15mg
Tá duợc vđ 1 viên","Thuốc làm giảm hoặc hết các triệu chứng ho. Dùng trong các chứng ho khan, viêm khí quản, phế quản.","Người lớn và trể em trên 12 tuổi: Uống mỗi lần 1 viên X 3 lần/ngày.
Trẻ em: Uống theo chi dẫn của thầy thuốc. Trung bình:
Từ 1-5 tuổi: Uống mỗi lần 1/4-1/2 viên X 3 lần/ngày.
Từ 5 -12 tuổi: Uống mỗi lần 1/2-1 viên X 3 lần/ngày.
Thuốc này chỉ dùng theo sự kê đơn của thầy thuốc","em dưới 1 tuổi. Suy hố hấp, ho do hen suyễn. Phụ nữ có thai hoặc đang nuôi con bú.",vi,
PACEMIN NANG VỈ,"Paracetamol 325mg             
Clorpheniramin maleat 4mg
Tá dược vđ 1 viên","Điều trị cảm cúm, sốt, nhức đầu, sổ mũi, ngạt mũi, viêm mũi dị ứng do thời tiết.","* Người lớn: Uống mỗi lần 1 viên x 3 lần/ngày.
* Trẻ em: Uống bằng 1/2 - 1/4 liều người lớn chia làm 3 lần, tuỳ theo tuổi.","Chống chỉ định: Quá mẫn cảm với một trong các thành phần của thuốc.
* Paracetamol: Người nhiều lần thiếu máu hoặc có bệnh tim, phổi, thận hoặc gan. Người bệnh thiếu hụt Glucose-6-phosphat dehydrogenase.
* Clorpheniramin maleat: Người bệnh đang cơn hen cấp. Người bệnh có triệu chứng phì đại tuyến tiền liệt. Glôcôm góc hẹp, tắc cổ bàng quang, loét dạ dày, tắc môn vị-tá tràng. Phụ nữ có thai hoặc đang cho con bú, trẻ sơ sinh và trẻ đẻ thiếu tháng. Người bệnh dùng thuốc ức chế oxidase (MAO) trong vòng 14 ngày, tính đến thời điểm điều trị bằng clorpheniramin vì tính chất chống tiết acetylcholin của clorpheniramin bị tăng lên bởi các chất ức chế MAO.",vi,
AUSMUCO 750V,"Carbocistein 750mg
Tá dược vđ 1 viên","Thuốc được chỉ định ở người lớn và trẻ em trên 15 tuổi để điều trị hỗ trợ trong các bệnh lý đường hô hấp có tăng tiết chất nhầy, bao gồm cả bệnh tắc nghẽn đường hô hấp mạn tính","Thường dùng đường uống
Uống 1 viên/ lần x 3 lần/ ngày. Nên giảm xuống 1 viên/ lần x 2 lần/ ngày khi đã có đáp ứng","Quá mẫn cảm với bất kỳ thành phần nào của thuốc
Bệnh nhân có loét đường tiêu hóa cấp",vi,
HATERPIN NANG,"Terpin hydrat 100mg                  
Natri benzoat 50mg                               
Tá dược vđ 1 viên","Giảm ho, long đờm","Uống theo sự chỉ dẫn của thầy thuốc
Người lớn: Uống 2-4 viên x 2-3 lần/ ngày
Trẻ em trên 30 tháng tuổi: Uống 1-2 viên chia làm 2-3 lần/ ngày","Chống chỉ định: Mẫn cảm với bất kỳ thành phần nào của thuốc
Trẻ em dưới 30 tháng tuổi, phụ nữ có thai và cho con bú",vi,
GLOFAP V,"Cefpodoxim Proxetil tương ứng với cefpodoxim 100mg
Tá dược vđ 1 viên","1. Điều trị các bệnh từ nhẹ đến trung bình ở đường hô hấp dưới, kể cả viêm phổi cấp tính mắc phải ở cộng đồng do các chủng Streptococcus pneumoniae hoặc Haemophilus influenzae nhạy cảm (kể cả các chủng sinh ra beta-lactamase) và đợt kịch phát cấp tính của viêm phế quản mạn do các chủng S. pneumoniae nhạy cảm và do các H. influenzae hoặc Moraxella catarrhalis, không sinh ra beta-lactamase.
2. Điều trị bệnh viêm tai giữa cấp do các chủng nhạy cảm S. pneumoniae, H. influenzae (kể cả các chủng sinh ra beta-lactamase) hoặc B. catarrhalis.
3. Cefpodoxim cũng được dùng để điều trị nhiễm khuẩn đường tiết niệu thể nhẹ và vừa, chưa có biến chứng (viêm bàng quang) do các chủng nhạy cảm E.coli, Klebsiella pneumoniae, Proteus mirabilis hoặc Staphylococcus saprophyticus.
4. Cefpodoxim được dùng để điều trị bệnh lậu cấp, chưa biến chứng, ở nội mạc cổ tử cung hoặc hậu môn- trực tràng của phụ nữ và bệnh lậu ở niệu đạo  của  phụ nữ và nam giới, do các chủng có hoặc không tạo penicilinase của Neisseria gonorrhoea.
5. Cefpodoxim cũng được dùng để điều trị nhiễm khuẩn thể nhẹ đến vừa chưa biến chứng ở da và các tổ chức da do Staphylococcus aureus có tạo ra hay không tạo ra penicilinase và các chủng nhạy cảm của Streptococcus pyogenes.","Cách dùng: Nên uống thuốc cùng thức ăn để tăng sự hấp thu của thuốc qua đường tiêu hóa.
Liều thường dùng:
- Người lớn và trẻ em > 12 tuổi: Uống 100-400mg cách 12 giờ/ lần.
- Trẻ em dưới 12 tuổi: Uống 10mg/kg/ ngày, chia làm 2 lần, cách nhau 12 giờ (liều tối đa 400mg/ ngày).",Không được dùng cho những người bệnh bị dị ứng với các cephalosporin và người bị rối loạn chuyển hoá porphyrin. Trẻ em dưới 15 ngày tuổi,vi,
TRIMESEPTOL ( VIÊN NÉN LỌ),"Sulfamethoxazol 400mg
Trimethoprim 80mg
Tá dược vđ 1 viên","Điều trị nhiễm khuẩn do các vi khuẩn nhạy cảm với thuốc:
1.Nhiễm khuẩn đường tiết niệu:
Nhiễm khuẩn đường tiết niệu dưới không biến chứng, nhiễm khuẩn đường tiết niệu mạn tính tái phát ở nữ trưởng thành, viêm tuyến tiền liệt nhiễm khuẩn.
2. Nhiễm khuẩn đường hô hấp:
Đợt cấp viêm phế quản mạn, viêm phổi cấp ở trẻ em, viêm tai giữa cấp ở trẻ em, viêm xoang má cấp ở người lớn, viêm phổi do Pneumocystis carinii.
3. Nhiễm khuẩn đường tiêu hóa: lỵ trực khuẩn, thương hàn.","Uống mỗi lần 2 viên x 2 lần/ngày, thời gian điều trị 10 ngày.
Hoặc liều duy nhất: 4 viên/ngày, điều trị tối thiểu 3 ngày hoặc 7 ngày.
uống 1 hoặc 2 lần mỗi tuần.",Suy thận nặng mà không giám sát được nồng độ thuốc trong huyết tương. Người bệnh được xác định thiếu máu nguyên hồng cầu khổng lồ do thiếu acid folic. Mẫn cảm với sulfonamid hoặc với trimethoprim. Trẻ em dưới 2 tháng tuổi. Phụ nữ có thai hoặc đang cho con bú.,vi,
