name,ingredients,effect,dosage,caution,nation,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가네골드액,"시트르산수화물,L-아르기닌,베타인,베타인염산염",간질환의 보조 치료,성인은 1일 10~30 mL를 식간에 분할 복용,"신질환, 심근경색 및 경험자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가네진정,"아데닌염산염,피리독신염산염,항독성간장엑스,오로트산카르니틴,리보플라빈,시아노코발라민100배산","만성 간염, 독성 간질환의 보조치료",성인은 1회 1정 1일 2 ～ 3회 복용,"과민증 환자는 이 약을 복용하지 마십시오, 레보도파와 함께 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가네카정,"트리프롤리딘염산염수화물,슈도에페드린염산염","코감기, 알레르기 및 혈관운동성 코염에 의한 재채기, 콧물, 코막힘, 눈물의 완화",성인은 1회 1정 1일 3회 매 식후에 복용,"천식, 녹내장, 부정맥, 당뇨병, 갑상샘기능항진증, 12세 미만의 소아는 의사 또는 약사와 상의",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가네탑골드연질캡슐,"니코틴산아미드,밀크시슬열매건조엑스,시아노코발라민,티아민질산염,판토텐산 칼슘,피리독신염산염"," 만성 간질환, 간경변, 독성 간질환의 보조치료",성인은 1회 1캡슐 1일 3회 복용,"과민증 환자, 대두유 또는 콩, 땅콩에 과민증 환자, 심한 담도폐쇄 환자, 12세 이하 소아는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가레오연질캡슐,디히드록시디부틸에테르,"소화불량증상(복부팽만감, 소화의 지연, 트림, 구역)의 개선",성인은 1회 2~4캡슐(0.5 ∼ 1.0 g)을 1일 1 ∼ 3회 식전에 씹지 말고 삼켜 복용,"녹내장, 요로, 전립샘 환자, 담도(쓸개길)폐쇄, 담석증, 급·만성 간질환(간세포기능부전환자 포함), 이 약에 과민증 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감마마그빅연질캡슐,"γ-오리자놀,산화마그네슘,토코페롤아세테이트,티아민질산염,피리독신염산염","육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B6의 보급과 말초혈행장애 및 갱년기시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화, 신경통, 근육통, 관절통(요통, 견통 등), 구각염, 구순염, 구내염, 설염, 습진, 피부염 증상의 완화, 각기, 눈의 피로와 마그네슘결핍으로 인한 근육경련","성인은 1회 1캡슐씩, 1일 2회 복용","대두유, 콩, 땅콩에 과민증 환자, 만 12개월 미만의 젖먹이, 심한 증상의 신부전 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
게루삼정,"건조수산화알루미늄 겔,침강탄산칼슘,탄산마그네슘,탄산수소나트륨","위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용",성인은 1회 2정 1일 3회 식간(식사때와 식사때 사이) 및 취침시 복용 복용간격은 4시간 이상,"투석요법을 받고 있는 환자, 만 7세 이하의 어린이는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
게므론골드정,"니코틴산아미드,레티놀팔미테이트과립,리보플라빈3배산,무수인산일수소 칼슘,산화 아연,산화마그네슘,산화제이구리,셀레늄 함유 건조효모,시아노코발라민1000배산,아스코르빈산과립97%,에르고칼시페롤과립,요오드화칼륨,유비데카레논,토코페롤아세테이트50%,티아민질산염,판토텐산 칼슘,폴산,푸마르산철,피리독신염산염3배산,황산망간일수화물,황산칼륨","육체피로, 수유기, 병중ㆍ병후의 체력 저하 시, 발육기, 노년기의 비타민의 보급과 눈의 건조감의 완화, 야맹증(밤에 잘 못 보는 증상), 뼈, 이의 발육불량, 구루병의 예방과 아연의 보급에 사용","성인은 1회 2정씩, 1일 1회 또는 1회 1정씩, 1일 2회 복용","비타민 A를 1일 5,000 IU 이상 복용 시 선천성 기형을 일으킬 수 있습니다. 임신 3개월 이내 또는 임신하고 있을 가능성이 있는 여성은 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
게보린정,"아세트아미노펜,이소프로필안티피린,카페인무수물","두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통과 오한(춥고 떨리는 증상), 발열시의 해열에 사용",성인은 1회 1정 1일 3회까지 공복시를 피해 복용 복용간격은 4시간 이상,"과민증 환자, 다른 해열진통제(비스테로이드성 소염제), 감기약 복용시 천식발작 유발 또는 그 경험자, 글루코스-6-인산 탈수소효소결핍증, 급성 간헐성(시간 간격을 두고 되풀이하여) 포르피린증, 과립백혈구감소증, 중증 간장애, 중증 신장애, 출혈 소인, 15세 미만의 소아, 소화성궤양, 심한 혈액 이상, 심한 심장기능저하, 바르비탈계 약물, 삼환계 항우울제, 알코올을 복용한 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대원알마게이트정,알마게이트," 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용",성인 및 12세 이상의 소아는 1회 2정(1 g)을 1일 3회 식후 30분~1시간에 씹어서 복용,"과민증 환자, 알츠하이머병, 치질, 체액저류(부기), 임신중독증, 설사, 진단되지 않은 소화기관출혈 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
