id,name,ingredient,effect,dosage
2,이부부루펜시럽,"이부프로펜, 벤조산나트륨, 시트르산수화물, D-소르비톨액, 폴리소르베이트 80, 파라옥시벤조산프로필, 시트르산나트륨수화물, 백당, 한천, 파라옥시벤조산메틸, 정제수, 농글리세린, 오렌지향 D717","류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통","성인 : 1회 200-600mg 1일 3-4회 경구투여, 1일 최고 3200mg까지 투여할 수 있다."
3,판피린큐액,"아세트아미노펜, 카페인무수물, 클로르페니라민말레산염, dl-메틸에페드린염산염, 구아이페네신, 티페피딘시트르산염, 벤조산나트륨","감기 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화",성인 1회 20mL를 1일 3회 식후 30분에 복용
4,펜잘큐,"아세트아미노펜, 에텐자미드, 카페인무수물","두통, 치통, 발치(이를 뽑음) 후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통오한(춥고 떨리는 증상), 발열 시의 해열","성인(만 15세 이상) : 1회 1정, 1일 3회"
5,판콜에스,"아세트아미노펜, 구아이페네신, dl-메틸에페드린염산염, 클로르페니라민말레산염, 카페인무수물","급성 상기도 감염으로 인한 발열시 해열, 감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 기침, 인후(목구멍)통, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화","성인 : 1회 30mL(1병), 1일 3회 식후 30분에 복용"
6,판콜에이,"아세트아미노펜, 구아이페네신, 펜톡시베린시트르산염, 페닐레프린염산염, 클로르페니라민말레산염, 카페인무수물","감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 기침, 인후(목구멍)통, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화","성인 : 1회 30mL(1병), 1일 3회 식후 30분에 복용"
7,후시딘,퓨시드산나트륨,"포도구균(포도알균), 연쇄구균, 코리네박테륨, 클로스트리듐 / 농피증(고름피부증)(농가진(고름딱지증), 감염성습진양피부염, 심상성여드름(보통여드름), 모낭염, 종기 및 종기증, 화농(곪음)성한선염, 농가진(고름딱지증)성습진), 화상ㆍ외상(상처)ㆍ봉합(꿰맴)창ㆍ식피창(피부이식 후 생긴 상처)에 의한 2차 감염",환부를 깨끗이 하고 1일 1~2회 적당량을 환부에 직접 바르거나 무균거즈에 넓게 펴발라 붙인다. 두껍게 바르지 않고 보통 1주 정도로 투여기간을 제한한다.
8,파워콜 에스,"아세트아미노펜, 카페인무수물, 구아이페네신, 클로르페니라민말레산염, dl-메틸에페드린염산염","감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화","성인 : 1회 1캡슐, 1일 3회, 식후 30분에 복용"
9,파워콜 노즈,"아세트아미노펜, 페닐레프린염산염, dl-메틸에페드린염산염, 클로르페니라민말레산염","감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화","만 15세 이상 : 1일 3회, 1회 1캡슐 식후 30분에 복용"
10,파워콜 코프,"아세트아미노펜, 구아이페네신, dl-메틸에페드린염산염, 티페피딘시트르산염","감기의 제증상(여러증상)(인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화","만 15세 이상 : 1일 3회, 1회 2캡슐 식후 30분에 복용"
11,활명수,"육계, 진피, 현호색, 건강, 정향, 후박, 육두구, 창출, L-멘톨, 아선약, 고추틴크","식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토",만 15세 이상 : 1회 1병 (75mL)
